Country,lat,lon,Year_2017,Year_2016,Year_2015,Year_2014,Year_2013,Year_2012,Year_2011,Year_2010,Year_2009,Year_2008,Year_2007,Year_2006,Year_2005,Year_2004,Year_2003,Year_2002,Year_2001,Year_2000,2017_Country_Population,Per_Population_2017,
Tajikistan,38.86,71.28,0.00,0.00,0.00,2.00,3.00,18.00,65.00,111.00,164.00,318.00,635.00,1344.00,2309.00,3588.00,5428.00,6160.00,11387.00,19064.00,8880270.00,0.00,
Thailand,15.87,100.99,11440.00,11522.00,8022.00,37921.00,33302.00,32569.00,24897.00,32480.00,29462.00,28569.00,33178.00,30294.00,29782.00,26690.00,37355.00,44555.00,63528.00,78561.00,69209817.00,0.02,
Timor-Leste,-8.87,125.73,16.00,94.00,80.00,342.00,1025.00,5211.00,19739.00,48137.00,47527.00,51260.00,52813.00,37896.00,43093.00,39164.00,33411.00,26651.00,,15212.00,1243260.00,0.00,
Togo,8.62,0.82,1209034.00,1183265.00,1113927.00,1130251.00,882430.00,697374.00,519450.00,617101.00,391338.00,344862.00,221110.00,,,,,,,,7698476.00,15.70,
Turkey,38.96,35.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,166.00,313.00,796.00,2084.00,5302.00,9222.00,10224.00,10812.00,11432.00,81116451.00,0.00,
Turkmenistan,38.97,59.56,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,1.00,1.00,3.00,7.00,18.00,8.00,24.00,5757667.00,0.00,
Uganda,1.37,32.29,11667831.00,9385132.00,7137662.00,3631939.00,1502362.00,2662258.00,231873.00,1581160.00,1301337.00,979298.00,1045378.00,867398.00,1104310.00,879032.00,801784.00,557159.00,,,41166588.00,28.34,
United Arab Emirates,23.42,53.85,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,9487206.00,0.00,
United Republic of Tanzania,-6.37,34.89,5354486.00,5193520.00,4241364.00,680442.00,1551923.00,1986955.00,2150761.00,1278998.00,211.00,4508.00,1845917.00,1928296.00,2764049.00,2502382.00,1976614.00,42468.00,38537.00,17734.00,54660345.00,9.80,
Uzbekistan,41.38,64.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,7.00,30.00,73.00,102.00,66.00,74.00,74.00,77.00,126.00,31959774.00,0.00,
Vanuatu,-15.38,166.96,1071.00,1868.00,423.00,982.00,2381.00,3435.00,4820.00,8169.00,4189.00,3765.00,5471.00,8055.00,9834.00,14653.00,15240.00,14339.00,7647.00,6768.00,285499.00,0.38,
Venezuela (Bolivarian Republic of),5.16,-69.41,411586.00,240613.00,136402.00,90708.00,78643.00,52803.00,45824.00,45155.00,35828.00,32037.00,41749.00,37062.00,45049.00,46655.00,31719.00,29491.00,20006.00,29736.00,29402480.00,1.40,
Viet Nam,14.06,108.28,4548.00,4161.00,9331.00,15752.00,17128.00,19638.00,16612.00,17515.00,16130.00,11355.00,16389.00,22637.00,19496.00,24909.00,38790.00,47807.00,68699.00,74316.00,94600643.00,0.00,
Yemen,15.55,48.52,114004.00,98701.00,76259.00,86707.00,102778.00,109908.00,90410.00,106697.00,55446.00,44206.00,67677.00,55000.00,44150.00,48756.00,50811.00,75508.00,,1394495.00,27834811.00,0.41,
Zambia,-13.13,27.85,5505639.00,4851319.00,4184661.00,4077547.00,,,,,,,,,,,,,,,16853608.00,32.67,
Zimbabwe,-19.02,29.15,315624.00,279988.00,391651.00,535931.00,422633.00,276963.00,319935.00,249379.00,114028.00,32788.00,116518.00,19702.00,18954.00,16990.00,,,,,14236599.00,2.22,
